stock,date,open,high,low,close,volume
TRV,31/12/2018,118.48,119.75,118.05,119.75,1157343
TRV,2/1/2019,117.49,118.19,116.33,117.37,1793492
TRV,3/1/2019,117.05,117.3,115.06,115.26,1887516
TRV,4/1/2019,116.66,118.78,116.131,118.68,1793890
TRV,7/1/2019,118.21,119.54,117.71,118.3,1082816
TRV,8/1/2019,119.38,119.51,116.84,117.84,1403869
TRV,9/1/2019,118.66,119.56,117.98,118.68,1752991
TRV,10/1/2019,118.53,120.35,118.39,120.27,1061453
TRV,11/1/2019,119.89,120.86,119.27,120.47,839353
TRV,14/1/2019,119.87,120.97,119.79,120.58,1406827
TRV,15/1/2019,120.53,121.86,120.53,121.82,1373389
TRV,16/1/2019,122.29,122.58,121.18,122.3,1349813
TRV,17/1/2019,121.64,122.99,121.28,122.94,1109153
TRV,18/1/2019,123.72,124.41,122.74,124.01,1923862
TRV,22/1/2019,123.5,125.5,121.3408,122.36,2155813
TRV,23/1/2019,122.67,123.245,120.6039,123.02,2008713
TRV,24/1/2019,122.75,124.46,122.58,124.38,1621000
TRV,25/1/2019,125.01,126.17,124.54,124.98,1972751
TRV,28/1/2019,124.24,125.13,123.61,125.03,1284530
TRV,29/1/2019,124.74,125.47,124.38,124.82,1275628
TRV,30/1/2019,124.71,126.19,124.08,125.88,1682435
TRV,31/1/2019,125.4,125.8,124.38,125.54,1619940
TRV,1/2/2019,126.03,126.53,125.13,126.49,1064703
TRV,4/2/2019,126.49,126.5,125.02,126.04,1214137
TRV,5/2/2019,126.12,126.25,125.33,126.18,1306400
TRV,6/2/2019,125.98,125.98,124.87,125.55,1504900
TRV,7/2/2019,125.19,126.8,125.11,126.76,1083916
TRV,8/2/2019,126.53,126.76,124.62,125.79,1252718
TRV,11/2/2019,126.04,126.04,124.36,125.42,1610213
TRV,12/2/2019,126.43,127.37,126.11,127.26,1729467
TRV,13/2/2019,127.79,129.13,127.55,128.04,1350950
TRV,14/2/2019,127.13,127.95,126.23,126.93,1266508
TRV,15/2/2019,128.05,128.84,127.865,128.74,1304575
TRV,19/2/2019,128.31,129.46,128.01,129.1,1459280
TRV,20/2/2019,129.05,130.13,128.98,129.74,1784791
UNH,21/2/2014,67.9095,68.5291,67.8263,68.2609,4561973
UNH,24/2/2014,68.5661,70.9984,68.4366,70.2955,9569735
UNH,25/2/2014,70.2678,70.4158,69.4817,69.6574,3762240
UNH,26/2/2014,69.6667,70.4019,69.158,70.3418,5433154
UNH,27/2/2014,70.0828,70.6655,69.9164,70.3048,4227261
UNH,28/2/2014,70.3233,71.8677,70.1013,71.4608,6176557
UNH,3/3/2014,70.9337,71.6365,70.7764,71.3036,3673405
UNH,4/3/2014,71.8955,72.6631,71.7105,72.2562,5171180
UNH,5/3/2014,72.3764,72.5983,71.7475,72.1267,3934324
UNH,6/3/2014,72.2746,72.4504,71.7198,71.803,4200499
UNH,7/3/2014,72.1452,72.2007,71.2481,71.581,3434762
